user_id,playlist_id,num_of_musics,num_of_musics_with_mbid,danceability,gender,genre_dortmund,genre_electronic,genre_rosamerica,genre_tzanetakis,ismir04_rhythm,mood_acoustic,mood_aggressive,mood_electronic,mood_happy,mood_party,mood_relaxed,mood_sad,moods_mirex,timbre,tonal_atonal,voice_instrumental
22401,24538,13,5,"[('not_danceable', 5)]","[('male', 3), ('female', 2)]","[('electronic', 3), ('blues', 1), ('folkcountry', 1)]","[('ambient', 4), ('trance', 1)]","[('rhy', 3), ('roc', 2)]","[('jaz', 5)]","[('VienneseWaltz', 2), ('Rumba-International', 1), ('Tango', 1), ('ChaChaCha', 1)]","[('not_acoustic', 3), ('acoustic', 2)]","[('not_aggressive', 4), ('aggressive', 1)]","[('not_electronic', 5)]","[('not_happy', 3), ('happy', 2)]","[('not_party', 4), ('party', 1)]","[('not_relaxed', 3), ('relaxed', 2)]","[('not_sad', 4), ('sad', 1)]","[('Cluster5', 4), ('Cluster3', 1)]","[('dark', 3), ('bright', 2)]","[('tonal', 4), ('atonal', 1)]","[('instrumental', 3), ('voice', 2)]"
10717,10107,11,6,"[('not_danceable', 4), ('danceable', 2)]","[('female', 5), ('male', 1)]","[('electronic', 5), ('folkcountry', 1)]","[('ambient', 5), ('trance', 1)]","[('rhy', 3), ('pop', 3)]","[('jaz', 6)]","[('VienneseWaltz', 2), ('Tango', 2), ('ChaChaCha', 2)]","[('acoustic', 5), ('not_acoustic', 1)]","[('not_aggressive', 6)]","[('not_electronic', 6)]","[('happy', 5), ('not_happy', 1)]","[('not_party', 6)]","[('not_relaxed', 3), ('relaxed', 3)]","[('sad', 4), ('not_sad', 2)]","[('Cluster3', 4), ('Cluster4', 1), ('Cluster5', 1)]","[('bright', 6)]","[('tonal', 4), ('atonal', 2)]","[('voice', 5), ('instrumental', 1)]"
3250,23390,15,6,"[('not_danceable', 6)]","[('female', 4), ('male', 2)]","[('electronic', 5), ('folkcountry', 1)]","[('ambient', 5), ('trance', 1)]","[('pop', 2), ('rhy', 1), ('dan', 1), ('roc', 1), ('jaz', 1)]","[('jaz', 6)]","[('VienneseWaltz', 3), ('Rumba-American', 2), ('Waltz', 1)]","[('acoustic', 3), ('not_acoustic', 3)]","[('not_aggressive', 5), ('aggressive', 1)]","[('not_electronic', 4), ('electronic', 2)]","[('not_happy', 3), ('happy', 3)]","[('not_party', 6)]","[('relaxed', 4), ('not_relaxed', 2)]","[('not_sad', 3), ('sad', 3)]","[('Cluster5', 3), ('Cluster3', 2), ('Cluster2', 1)]","[('bright', 4), ('dark', 2)]","[('tonal', 4), ('atonal', 2)]","[('voice', 4), ('instrumental', 2)]"
17325,27814,22,5,"[('not_danceable', 3), ('danceable', 2)]","[('female', 3), ('male', 2)]","[('electronic', 5)]","[('ambient', 3), ('house', 2)]","[('rhy', 2), ('roc', 1), ('jaz', 1), ('pop', 1)]","[('jaz', 5)]","[('ChaChaCha', 3), ('Tango', 2)]","[('not_acoustic', 3), ('acoustic', 2)]","[('not_aggressive', 5)]","[('not_electronic', 3), ('electronic', 2)]","[('not_happy', 3), ('happy', 2)]","[('not_party', 4), ('party', 1)]","[('relaxed', 3), ('not_relaxed', 2)]","[('not_sad', 3), ('sad', 2)]","[('Cluster3', 2), ('Cluster5', 2), ('Cluster2', 1)]","[('bright', 3), ('dark', 2)]","[('tonal', 3), ('atonal', 2)]","[('voice', 3), ('instrumental', 2)]"
24029,29785,15,5,"[('not_danceable', 3), ('danceable', 2)]","[('female', 3), ('male', 2)]","[('electronic', 4), ('alternative', 1)]","[('ambient', 4), ('trance', 1)]","[('roc', 4), ('rhy', 1)]","[('jaz', 4), ('roc', 1)]","[('Tango', 2), ('ChaChaCha', 2), ('VienneseWaltz', 1)]","[('not_acoustic', 5)]","[('not_aggressive', 4), ('aggressive', 1)]","[('not_electronic', 3), ('electronic', 2)]","[('not_happy', 3), ('happy', 2)]","[('not_party', 4), ('party', 1)]","[('relaxed', 3), ('not_relaxed', 2)]","[('not_sad', 4), ('sad', 1)]","[('Cluster2', 2), ('Cluster3', 1), ('Cluster1', 1), ('Cluster5', 1)]","[('bright', 3), ('dark', 2)]","[('tonal', 3), ('atonal', 2)]","[('voice', 3), ('instrumental', 2)]"
10717,22086,9,5,"[('not_danceable', 4), ('danceable', 1)]","[('female', 4), ('male', 1)]","[('electronic', 4), ('alternative', 1)]","[('ambient', 3), ('trance', 2)]","[('hip', 2), ('roc', 2), ('dan', 1)]","[('jaz', 5)]","[('Rumba-American', 2), ('Jive', 1), ('Samba', 1), ('Tango', 1)]","[('not_acoustic', 5)]","[('not_aggressive', 3), ('aggressive', 2)]","[('electronic', 4), ('not_electronic', 1)]","[('happy', 3), ('not_happy', 2)]","[('not_party', 4), ('party', 1)]","[('relaxed', 5)]","[('not_sad', 5)]","[('Cluster5', 5)]","[('dark', 5)]","[('atonal', 4), ('tonal', 1)]","[('instrumental', 4), ('voice', 1)]"
16277,18334,9,6,"[('not_danceable', 4), ('danceable', 2)]","[('female', 4), ('male', 2)]","[('electronic', 5), ('raphiphop', 1)]","[('ambient', 4), ('trance', 2)]","[('hip', 2), ('rhy', 1), ('dan', 1), ('roc', 1), ('pop', 1)]","[('jaz', 5), ('pop', 1)]","[('Rumba-American', 2), ('ChaChaCha', 2), ('Jive', 1), ('Rumba-International', 1)]","[('not_acoustic', 5), ('acoustic', 1)]","[('not_aggressive', 6)]","[('electronic', 6)]","[('not_happy', 6)]","[('not_party', 6)]","[('relaxed', 6)]","[('not_sad', 5), ('sad', 1)]","[('Cluster5', 5), ('Cluster3', 1)]","[('dark', 5), ('bright', 1)]","[('atonal', 4), ('tonal', 2)]","[('instrumental', 3), ('voice', 3)]"
1842,10853,9,6,"[('not_danceable', 6)]","[('female', 5), ('male', 1)]","[('electronic', 4), ('folkcountry', 2)]","[('ambient', 6)]","[('rhy', 2), ('pop', 2), ('roc', 1), ('cla', 1)]","[('jaz', 6)]","[('VienneseWaltz', 4), ('Tango', 2)]","[('acoustic', 4), ('not_acoustic', 2)]","[('not_aggressive', 6)]","[('not_electronic', 5), ('electronic', 1)]","[('happy', 4), ('not_happy', 2)]","[('not_party', 6)]","[('not_relaxed', 3), ('relaxed', 3)]","[('not_sad', 4), ('sad', 2)]","[('Cluster3', 2), ('Cluster4', 2), ('Cluster2', 1), ('Cluster5', 1)]","[('bright', 5), ('dark', 1)]","[('tonal', 5), ('atonal', 1)]","[('voice', 4), ('instrumental', 2)]"
7714,6657,14,7,"[('danceable', 5), ('not_danceable', 2)]","[('female', 5), ('male', 2)]","[('electronic', 7)]","[('ambient', 4), ('trance', 3)]","[('roc', 3), ('hip', 1), ('rhy', 1), ('jaz', 1), ('pop', 1)]","[('jaz', 7)]","[('VienneseWaltz', 5), ('Rumba-American', 1), ('ChaChaCha', 1)]","[('not_acoustic', 5), ('acoustic', 2)]","[('not_aggressive', 5), ('aggressive', 2)]","[('not_electronic', 4), ('electronic', 3)]","[('not_happy', 6), ('happy', 1)]","[('not_party', 5), ('party', 2)]","[('not_relaxed', 4), ('relaxed', 3)]","[('not_sad', 7)]","[('Cluster5', 4), ('Cluster4', 2), ('Cluster3', 1)]","[('dark', 4), ('bright', 3)]","[('atonal', 4), ('tonal', 3)]","[('instrumental', 4), ('voice', 3)]"
15186,17073,17,6,"[('danceable', 3), ('not_danceable', 3)]","[('female', 4), ('male', 2)]","[('electronic', 6)]","[('ambient', 4), ('house', 1), ('trance', 1)]","[('rhy', 3), ('hip', 2), ('cla', 1)]","[('jaz', 6)]","[('ChaChaCha', 3), ('Tango', 2), ('VienneseWaltz', 1)]","[('not_acoustic', 4), ('acoustic', 2)]","[('not_aggressive', 6)]","[('electronic', 4), ('not_electronic', 2)]","[('happy', 4), ('not_happy', 2)]","[('not_party', 4), ('party', 2)]","[('not_relaxed', 3), ('relaxed', 3)]","[('not_sad', 5), ('sad', 1)]","[('Cluster3', 3), ('Cluster2', 1), ('Cluster4', 1), ('Cluster5', 1)]","[('dark', 4), ('bright', 2)]","[('atonal', 3), ('tonal', 3)]","[('voice', 5), ('instrumental', 1)]"
13490,13740,10,8,"[('not_danceable', 5), ('danceable', 3)]","[('male', 4), ('female', 4)]","[('electronic', 8)]","[('trance', 4), ('ambient', 4)]","[('roc', 6), ('hip', 1), ('pop', 1)]","[('jaz', 8)]","[('Rumba-American', 3), ('ChaChaCha', 3), ('Tango', 2)]","[('not_acoustic', 8)]","[('aggressive', 5), ('not_aggressive', 3)]","[('electronic', 7), ('not_electronic', 1)]","[('not_happy', 7), ('happy', 1)]","[('party', 5), ('not_party', 3)]","[('not_relaxed', 5), ('relaxed', 3)]","[('not_sad', 8)]","[('Cluster5', 7), ('Cluster2', 1)]","[('dark', 6), ('bright', 2)]","[('atonal', 7), ('tonal', 1)]","[('instrumental', 5), ('voice', 3)]"
134,2323,12,5,"[('danceable', 4), ('not_danceable', 1)]","[('female', 5)]","[('electronic', 4), ('folkcountry', 1)]","[('ambient', 3), ('trance', 1), ('techno', 1)]","[('rhy', 3), ('hip', 1), ('dan', 1)]","[('jaz', 4), ('roc', 1)]","[('VienneseWaltz', 2), ('ChaChaCha', 2), ('Waltz', 1)]","[('not_acoustic', 3), ('acoustic', 2)]","[('not_aggressive', 4), ('aggressive', 1)]","[('not_electronic', 3), ('electronic', 2)]","[('not_happy', 3), ('happy', 2)]","[('not_party', 4), ('party', 1)]","[('relaxed', 4), ('not_relaxed', 1)]","[('not_sad', 3), ('sad', 2)]","[('Cluster5', 3), ('Cluster4', 2)]","[('dark', 3), ('bright', 2)]","[('tonal', 3), ('atonal', 2)]","[('voice', 3), ('instrumental', 2)]"
2040,1214,13,6,"[('not_danceable', 4), ('danceable', 2)]","[('female', 4), ('male', 2)]","[('electronic', 5), ('folkcountry', 1)]","[('ambient', 6)]","[('pop', 3), ('cla', 2), ('roc', 1)]","[('jaz', 5), ('hip', 1)]","[('VienneseWaltz', 2), ('ChaChaCha', 2), ('Rumba-American', 1), ('Tango', 1)]","[('not_acoustic', 4), ('acoustic', 2)]","[('not_aggressive', 6)]","[('electronic', 3), ('not_electronic', 3)]","[('happy', 4), ('not_happy', 2)]","[('not_party', 6)]","[('relaxed', 5), ('not_relaxed', 1)]","[('not_sad', 4), ('sad', 2)]","[('Cluster2', 4), ('Cluster5', 2)]","[('dark', 3), ('bright', 3)]","[('atonal', 3), ('tonal', 3)]","[('voice', 4), ('instrumental', 2)]"
6862,30243,6,5,"[('danceable', 3), ('not_danceable', 2)]","[('female', 3), ('male', 2)]","[('electronic', 5)]","[('trance', 3), ('ambient', 2)]","[('roc', 4), ('hip', 1)]","[('jaz', 5)]","[('VienneseWaltz', 2), ('Rumba-American', 1), ('Tango', 1), ('ChaChaCha', 1)]","[('not_acoustic', 5)]","[('not_aggressive', 3), ('aggressive', 2)]","[('not_electronic', 3), ('electronic', 2)]","[('happy', 3), ('not_happy', 2)]","[('party', 3), ('not_party', 2)]","[('not_relaxed', 4), ('relaxed', 1)]","[('not_sad', 5)]","[('Cluster5', 4), ('Cluster3', 1)]","[('dark', 3), ('bright', 2)]","[('tonal', 4), ('atonal', 1)]","[('voice', 3), ('instrumental', 2)]"
3617,9935,12,6,"[('danceable', 3), ('not_danceable', 3)]","[('male', 3), ('female', 3)]","[('electronic', 6)]","[('trance', 5), ('ambient', 1)]","[('dan', 2), ('roc', 2), ('hip', 1), ('pop', 1)]","[('jaz', 5), ('roc', 1)]","[('VienneseWaltz', 2), ('Tango', 2), ('Samba', 1), ('ChaChaCha', 1)]","[('not_acoustic', 6)]","[('not_aggressive', 4), ('aggressive', 2)]","[('electronic', 5), ('not_electronic', 1)]","[('happy', 4), ('not_happy', 2)]","[('party', 3), ('not_party', 3)]","[('not_relaxed', 3), ('relaxed', 3)]","[('not_sad', 6)]","[('Cluster5', 5), ('Cluster3', 1)]","[('dark', 4), ('bright', 2)]","[('atonal', 5), ('tonal', 1)]","[('voice', 5), ('instrumental', 1)]"
20329,32504,19,6,"[('not_danceable', 4), ('danceable', 2)]","[('male', 4), ('female', 2)]","[('electronic', 6)]","[('ambient', 4), ('trance', 2)]","[('roc', 3), ('rhy', 1), ('jaz', 1), ('pop', 1)]","[('jaz', 6)]","[('VienneseWaltz', 3), ('ChaChaCha', 2), ('Tango', 1)]","[('not_acoustic', 4), ('acoustic', 2)]","[('not_aggressive', 5), ('aggressive', 1)]","[('not_electronic', 5), ('electronic', 1)]","[('not_happy', 3), ('happy', 3)]","[('not_party', 5), ('party', 1)]","[('relaxed', 4), ('not_relaxed', 2)]","[('not_sad', 4), ('sad', 2)]","[('Cluster3', 3), ('Cluster4', 2), ('Cluster5', 1)]","[('dark', 3), ('bright', 3)]","[('tonal', 5), ('atonal', 1)]","[('voice', 6)]"
2989,1403,9,6,"[('danceable', 4), ('not_danceable', 2)]","[('female', 6)]","[('electronic', 6)]","[('ambient', 5), ('trance', 1)]","[('rhy', 2), ('hip', 2), ('roc', 1), ('pop', 1)]","[('jaz', 6)]","[('Tango', 3), ('VienneseWaltz', 2), ('Rumba-American', 1)]","[('not_acoustic', 5), ('acoustic', 1)]","[('not_aggressive', 5), ('aggressive', 1)]","[('electronic', 5), ('not_electronic', 1)]","[('not_happy', 5), ('happy', 1)]","[('not_party', 5), ('party', 1)]","[('relaxed', 5), ('not_relaxed', 1)]","[('not_sad', 6)]","[('Cluster5', 3), ('Cluster2', 1), ('Cluster3', 1), ('Cluster1', 1)]","[('dark', 3), ('bright', 3)]","[('atonal', 4), ('tonal', 2)]","[('instrumental', 6)]"
16167,16118,7,5,"[('not_danceable', 3), ('danceable', 2)]","[('female', 3), ('male', 2)]","[('electronic', 4), ('blues', 1)]","[('house', 2), ('ambient', 2), ('trance', 1)]","[('hip', 2), ('rhy', 1), ('dan', 1), ('cla', 1)]","[('jaz', 5)]","[('ChaChaCha', 4), ('VienneseWaltz', 1)]","[('not_acoustic', 4), ('acoustic', 1)]","[('not_aggressive', 5)]","[('electronic', 4), ('not_electronic', 1)]","[('not_happy', 4), ('happy', 1)]","[('party', 3), ('not_party', 2)]","[('relaxed', 4), ('not_relaxed', 1)]","[('not_sad', 4), ('sad', 1)]","[('Cluster5', 3), ('Cluster3', 1), ('Cluster1', 1)]","[('bright', 3), ('dark', 2)]","[('atonal', 3), ('tonal', 2)]","[('instrumental', 4), ('voice', 1)]"
15552,28598,7,5,"[('danceable', 3), ('not_danceable', 2)]","[('male', 3), ('female', 2)]","[('electronic', 4), ('rock', 1)]","[('ambient', 3), ('house', 1), ('trance', 1)]","[('hip', 3), ('rhy', 1), ('roc', 1)]","[('jaz', 5)]","[('ChaChaCha', 3), ('Rumba-American', 1), ('VienneseWaltz', 1)]","[('not_acoustic', 5)]","[('not_aggressive', 3), ('aggressive', 2)]","[('electronic', 4), ('not_electronic', 1)]","[('not_happy', 4), ('happy', 1)]","[('not_party', 3), ('party', 2)]","[('relaxed', 3), ('not_relaxed', 2)]","[('not_sad', 5)]","[('Cluster5', 4), ('Cluster3', 1)]","[('dark', 5)]","[('atonal', 5)]","[('instrumental', 3), ('voice', 2)]"
25440,28575,8,5,"[('not_danceable', 4), ('danceable', 1)]","[('female', 4), ('male', 1)]","[('electronic', 5)]","[('ambient', 3), ('trance', 2)]","[('rhy', 3), ('dan', 1), ('roc', 1)]","[('jaz', 4), ('roc', 1)]","[('VienneseWaltz', 1), ('Jive', 1), ('Waltz', 1), ('Tango', 1), ('ChaChaCha', 1)]","[('not_acoustic', 3), ('acoustic', 2)]","[('not_aggressive', 4), ('aggressive', 1)]","[('electronic', 3), ('not_electronic', 2)]","[('happy', 3), ('not_happy', 2)]","[('not_party', 4), ('party', 1)]","[('relaxed', 4), ('not_relaxed', 1)]","[('not_sad', 3), ('sad', 2)]","[('Cluster5', 3), ('Cluster3', 2)]","[('dark', 3), ('bright', 2)]","[('atonal', 4), ('tonal', 1)]","[('voice', 3), ('instrumental', 2)]"
6731,6129,23,7,"[('danceable', 4), ('not_danceable', 3)]","[('female', 5), ('male', 2)]","[('electronic', 7)]","[('ambient', 3), ('trance', 2), ('house', 1), ('dnb', 1)]","[('rhy', 3), ('roc', 2), ('pop', 2)]","[('jaz', 7)]","[('VienneseWaltz', 3), ('Tango', 2), ('ChaChaCha', 2)]","[('not_acoustic', 7)]","[('not_aggressive', 6), ('aggressive', 1)]","[('electronic', 5), ('not_electronic', 2)]","[('not_happy', 5), ('happy', 2)]","[('not_party', 6), ('party', 1)]","[('relaxed', 4), ('not_relaxed', 3)]","[('not_sad', 6), ('sad', 1)]","[('Cluster5', 4), ('Cluster3', 3)]","[('dark', 4), ('bright', 3)]","[('atonal', 5), ('tonal', 2)]","[('instrumental', 4), ('voice', 3)]"
14906,15914,10,5,"[('danceable', 3), ('not_danceable', 2)]","[('female', 3), ('male', 2)]","[('electronic', 5)]","[('ambient', 3), ('house', 2)]","[('hip', 3), ('rhy', 2)]","[('jaz', 4), ('roc', 1)]","[('ChaChaCha', 4), ('Tango', 1)]","[('not_acoustic', 5)]","[('not_aggressive', 5)]","[('electronic', 5)]","[('not_happy', 5)]","[('not_party', 3), ('party', 2)]","[('relaxed', 5)]","[('not_sad', 4), ('sad', 1)]","[('Cluster3', 2), ('Cluster5', 2), ('Cluster2', 1)]","[('bright', 3), ('dark', 2)]","[('atonal', 3), ('tonal', 2)]","[('voice', 3), ('instrumental', 2)]"
6072,8159,12,5,"[('not_danceable', 4), ('danceable', 1)]","[('female', 5)]","[('electronic', 4), ('blues', 1)]","[('ambient', 5)]","[('rhy', 2), ('hip', 1), ('jaz', 1), ('cla', 1)]","[('jaz', 3), ('roc', 2)]","[('Rumba-American', 2), ('Tango', 2), ('Waltz', 1)]","[('not_acoustic', 4), ('acoustic', 1)]","[('not_aggressive', 5)]","[('electronic', 3), ('not_electronic', 2)]","[('not_happy', 4), ('happy', 1)]","[('not_party', 5)]","[('relaxed', 5)]","[('not_sad', 3), ('sad', 2)]","[('Cluster5', 3), ('Cluster2', 1), ('Cluster3', 1)]","[('dark', 3), ('bright', 2)]","[('atonal', 4), ('tonal', 1)]","[('instrumental', 4), ('voice', 1)]"
5114,3198,15,8,"[('not_danceable', 5), ('danceable', 3)]","[('male', 5), ('female', 3)]","[('electronic', 8)]","[('ambient', 7), ('trance', 1)]","[('roc', 3), ('pop', 3), ('rhy', 2)]","[('jaz', 8)]","[('VienneseWaltz', 3), ('Rumba-American', 2), ('Tango', 2), ('ChaChaCha', 1)]","[('not_acoustic', 7), ('acoustic', 1)]","[('not_aggressive', 7), ('aggressive', 1)]","[('electronic', 5), ('not_electronic', 3)]","[('not_happy', 7), ('happy', 1)]","[('not_party', 8)]","[('relaxed', 6), ('not_relaxed', 2)]","[('not_sad', 8)]","[('Cluster5', 5), ('Cluster2', 3)]","[('dark', 4), ('bright', 4)]","[('atonal', 5), ('tonal', 3)]","[('instrumental', 4), ('voice', 4)]"
16918,16699,8,6,"[('not_danceable', 6)]","[('female', 4), ('male', 2)]","[('electronic', 6)]","[('ambient', 6)]","[('rhy', 2), ('cla', 2), ('roc', 1), ('jaz', 1)]","[('jaz', 6)]","[('Tango', 3), ('VienneseWaltz', 2), ('Rumba-American', 1)]","[('acoustic', 3), ('not_acoustic', 3)]","[('not_aggressive', 6)]","[('not_electronic', 4), ('electronic', 2)]","[('not_happy', 6)]","[('not_party', 6)]","[('relaxed', 5), ('not_relaxed', 1)]","[('sad', 4), ('not_sad', 2)]","[('Cluster3', 3), ('Cluster5', 2), ('Cluster2', 1)]","[('dark', 4), ('bright', 2)]","[('tonal', 5), ('atonal', 1)]","[('instrumental', 3), ('voice', 3)]"
